title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
the vagabond and the child,8.4,40550,3240,1921,1,0,19,96,85,3
gold rush,8.3,45319,5700,1925,2,1,35,110,122,3
metropoli,8.4,81007,9180,1927,3,4,67,428,376,2
the general,8.3,37521,6420,1926,1,1,53,123,219,3
citi light,8.7,70057,5220,1931,2,0,38,187,186,3
m,8.5,73726,7020,1931,1,0,28,4,254,3
it happen one night,8.3,46503,6300,1934,4,1,40,183,211,2
modern time,8.6,90847,5220,1936,3,1,44,27,180,2
gone with the wind,8.2,160414,14280,1939,10,6,143,1263,653,3
mr smith goe to washington,8.4,58169,7740,1939,4,10,34,110,226,1
the wizard of oz,8.1,209506,6120,1939,6,12,126,2363,477,3
grape of wrath,8.2,45737,7740,1940,6,5,20,135,257,1
the great dictat,8.5,87969,7500,1940,5,1,37,181,173,3
rebecca,8.3,65670,7800,1940,2,9,47,328,241,3
citizen kane,8.5,228617,7140,1941,7,10,103,1439,1101,2
the trail of the hawk,8.2,86012,6000,1941,1,0,67,332,294,3
casablanca,8.6,296802,6120,1942,5,6,153,382,960,3
woman without conscienc,8.5,71266,6420,1944,3,0,43,231,260,3
the best year of our live,8.3,30002,10320,1946,13,1,15,129,218,3
dead sleep tight,8.1,50020,6840,1946,1,0,52,171,215,3
it a wonder life,8.7,197764,7800,1946,6,0,65,531,626,3
notori,8.2,56306,6060,1946,2,1,56,102,260,3
bicycl thiev,8.4,63797,5280,1948,17,0,17,239,202,1
cocktail for a corps,8.1,72370,4800,1948,0,0,42,199,283,3
the treasur of the sierra madr,8.4,59298,7560,1948,12,4,41,149,190,3
the third man,8.4,85964,6240,1949,3,4,62,338,364,3
everyth about eva,8.4,61738,8280,1950,15,15,42,253,276,1
rashomon,8.4,74219,5280,1950,9,2,19,102,238,2
boulevard of the dusk,8.6,102072,6600,1950,17,13,58,1033,394,2
the stranger on the train,8.1,69387,5520,1951,1,1,42,326,245,3
